Ford,,,,,,
Make,Model,Manufacture,Transponder Key,STRATTEC,Notes,In stock?
[Buick],[Cascada],[2016–2019],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[Enclave],[2008–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[Encore],[2013–2022],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[Encore GX],[2020–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[Envision],[2016–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Buick],[LeSabre],[1992–1999],[B89 (non-transponder)],,,
[Buick],[LeSabre],[2000–2005],[B111-PT (Circle+ chip,BRK)],,
[Buick],[Lucerne],[2006–2011],[B111-PT (Circle+ chip,BRK)],,
[Buick],[Park Avenue],[1991–1996],[B89 (non-transponder)],,,
[Buick],[Park Avenue],[1997–2005],[B111-PT (Circle+ chip,BRK)],,
[Buick],[Regal],[1997–2004],[B89 (non-transponder)],,,
[Buick],[Regal],[2005–2020],[B111-PT (Circle+ chip,BRK)],,
[Buick],[Verano],[2012–2017],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[ATS],[2013–2019],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[CT4],[2020–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[CT5],[2020–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[CTS],[2003–2007],[B112-PT (PK3+ chip,ILCO)],,
[Cadillac],[CTS],[2008–2019],[B111-PT (Circle+ chip,BRK)],,
[Cadillac],[DeVille],[1994–1999],[B89 (non-transponder)],,,
[Cadillac],[DeVille],[2000–2005],[B111-PT (Circle+ chip,BRK)],,
[Cadillac],[Escalade],[1999–2006],[B89 (non-transponder)],,,
[Cadillac],[Escalade],[2007–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[Lyriq],[2023–ongoing],[Proximity fob (no traditional transponder)],,,
[Cadillac],[SRX],[2004–2009],[B111-PT (Circle+ chip,BRK)],,
[Cadillac],[SRX],[2010–2016],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[XT4],[2019–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[XT5],[2017–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Cadillac],[XT6],[2020–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Avalanche],[2002–2006],[B89 (non-transponder)],,,
[Chevrolet],[Avalanche],[2007–2013],[B111-PT (Circle+ chip,BRK)],,
[Chevrolet],[Blazer],[1995–2005],[B89 (non-transponder)],,,
[Chevrolet],[Blazer],[2019–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Bolt EV],[2017–2023],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Camaro],[1997–2002],[B89 (non-transponder)],,,
[Chevrolet],[Camaro],[2010–2024],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Cavalier],[1995–2005],[B89 (non-transponder)],,,
[Chevrolet],[Colorado],[2004–2012],[B110-PT (PK3+ chip,BRK)],,
[Chevrolet],[Colorado],[2015–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Corvette],[1997–2004],[B89 (non-transponder)],,,
[Chevrolet],[Corvette],[2005–ongoing],[B111-PT (Circle+ chip,BRK)],,
[Chevrolet],[Cruze],[2011–2019],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Equinox],[2005–2006],[B89 (non-transponder)],,,
[Chevrolet],[Equinox],[2007–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[Express],[1996–2007],[B89 (non-transponder)],,,Silca ID47)]
[Chevrolet],[Express],[2008–ongoing],[B120 (ID46 chip,STRATTEC 5933963)],,
[Chevrolet],[HHR],[2006–2011],[B111-PT (Circle+ chip,BRK)],,
[Chevrolet],[Impala],[1994–1996],[B89 (non-transponder)],,,
[Chevrolet],[Impala],[2000–2005],[B111-PT (Circle+ chip,BRK)],,
